key,author,anime,image,quote
1,Itachi,Naruto,Itachi,It is foolish to fear what we have yet to see and know.
2,Itachi,Naruto,Itachi,It is not wise to judge others based on your own perceptions and by their
3,Itachi,Naruto,Itachi,Growth occurs when one goes beyond one’s limits.
4,Itachi,Naruto,Itachi,Even the strongest of opponents always have a weakness.
5,Itachi,Naruto,Itachi,"Teachings that do not speak of pain have no meaning, for humankind cannot gain anything in return."
6,Itachi,Naruto,Itachi,"Knowledge and awareness are vague, and perhaps better called illusions."
7,Itachi,Naruto,Itachi,"However strong you become, never seek to bear everything alone. If you do, failure is certain."
8,Itachi,Naruto,Itachi,Change is impossible in this fog of ignorance.
9,Itachi,Naruto,Itachi,Those who turn their heads against their comrades are sure to die a terrible death. Be prepared.
10,Itachi,Naruto,Itachi,"He who forgives and acknowledges himself, that is what it truly means to be strong!"
11,Itachi,Naruto,Itachi,I never wanted to take out the Uchiha clan… But it was the only way to save my little brother.
12,Itachi,Naruto,Itachi,"Don’t cry Sasuke. Your big brother is here to protect you, no matter what happens."
13,Itachi,Naruto,Itachi,That’s okay… Just as long as we can be together sometimes.
14,Itachi,Naruto,Itachi,Once more just before I leave this world… I wish to hear him call me elder brother.
15,Itachi,Naruto,Itachi,You and I are flesh and blood. I’m always going to be there for you even if it’s only as an obstacle for you to overcome. That’s what big brothers are for.
16,Itachi,Naruto,Itachi,"We are unique siblings. I am the barrier you must overcome, so you and I will continue to exist together."
17,Itachi,Naruto,Itachi,You don’t have to forgive me… but no matter what happens to you from here on out… I will always love you…
18,Itachi,Naruto,Itachi,"You Will never have to forgive me. No matter what happens to you from here on out, I will always love you"
19,Itachi,Naruto,Itachi,Forgive me Sasuke... It ends with this.
20,Itachi,Naruto,Itachi,"You aren't even worth killing, foolish little brother."
21,Itachi,Naruto,Itachi,"Foolish brother, if you wish to kill me - hate me, detest me, and survive in an unsightly way. Run..."
22,Itachi,Naruto,Itachi,You're such a child. You talk of nothing but pipe dreams... there are times when people must make painful choices.
23,Itachi,Naruto,Itachi,I always lied to you telling you to forgive me. I used these hands to keep you at distance… I did not want you to get involved. But now… I think you could have changed father and mother.
24,Itachi,Naruto,Itachi,"We do not know what kind of people we truly are until the moment before our deaths. As death comes to embrace you, you will realize what you are. That’s what death is, don’t you think?"
25,Itachi,Naruto,Itachi,Those who turn their hands against their comrades are sure to die a terrible death.
26,Itachi,Naruto,Itachi,"People’s lives don’t end when they die, they end when they lose faith."
27,Itachi,Naruto,Itachi,"In this moment, I am euphoric. Not because of any phony Shinobi’s blessing. But because I’m enlightened by my intelligence."
28,Itachi,Naruto,Itachi,Any technique is worthless before my eyes.
29,Itachi,Naruto,Itachi,"No, it means to forgive yourself for what you aren’t able to do. Your comrades are there to make up for what you cannot do and to prevent you from ignoring things that you actually might have been able to do."
30,Itachi,Naruto,Itachi,"The village does have its dark side and its inconsistencies, but I’m still Konoha’s Itachi Uchiha."
31,Itachi,Naruto,Itachi,I actually don’t think something like perfection exists. That is I think why we are born able to absorb things… and by comparing ourselves with something else we can finally head in a good direction.
